Name,Formatted address,Latitude,Longitude,Country,Division,District
Amtali,"Amtali, Bangladesh",22.1339094,90.2361929,Bangladesh,Barisal Division,Barguna District
Bamna,"Bamna, Bangladesh",22.3128887,90.0910316,Bangladesh,Barisal Division,Barguna District
Barguna-S,"Barguna Sadar Upazila, Bangladesh",22.1604747,90.1200741,Bangladesh,Barisal Division,Barguna District
Betagi,"Betagi, Bangladesh",22.4141607,90.1658856,Bangladesh,Barisal Division,Barguna District
Patharghata,"Patharghata, Bangladesh",22.0386917,89.9696802,Bangladesh,Barisal Division,Barguna District
Taltali,"Taltali, Bangladesh",21.9850165,90.0863581,Bangladesh,Barisal Division,Barguna District
Agailjhara,"Agailjhara, Bangladesh",22.9713291,90.1635442,Bangladesh,Barisal Division,Barisal District
Babuganj,"Babuganj, Bangladesh",22.8172374,90.3245891,Bangladesh,Barisal Division,Barisal District
Bakerganj,"Bakergonj, Bangladesh",22.5405454,90.3383648,Bangladesh,Barisal Division,Barisal District
Banaripara,"Banaripara Upazila, Bangladesh",22.7779323,90.1622648,Bangladesh,Barisal Division,Barisal District
Barishal-S,"Barishal, Bangladesh",22.7010021,90.3534511,Bangladesh,Barisal Division,Barisal District
Gouranadi,"Gaurnadi Upazila, Bangladesh",22.974329,90.2220861,Bangladesh,Barisal Division,Barisal District
Hizla,"Hizla Upazila,Bangladesh",22.92961233,90.44519546,Bangladesh,Barisal Division,Barisal District
Mehendiganj,"Mehendiganj, Bangladesh",22.8260701,90.5269639,Bangladesh,Barisal Division,Barisal District
Muladi,"Muladi, Bangladesh",22.8875337,90.3889622,Bangladesh,Barisal Division,Barisal District
Uzirpur,"Wazirpur, Bangladesh",22.8192933,90.2502697,Bangladesh,Barisal Division,Barisal District
Bhola-S,"Bhola, Bangladesh",22.6854694,90.6439027,Bangladesh,Barisal Division,Bhola District
Borhanuddin,"Borhanuddin Upazila, Bangladesh",22.4974135,90.716473,Bangladesh,Barisal Division,Bhola District
Charfassion,"Char Fasson, Bangladesh",22.1995354,90.7259605,Bangladesh,Barisal Division,Bhola District
Daulatkhan,"Daulatkhan, Bangladesh",22.6051091,90.7413661,Bangladesh,Barisal Division,Bhola District
Lalmohan,"Lalmohan, Bangladesh",22.3410744,90.7318981,Bangladesh,Barisal Division,Bhola District
Monpura,"Monpura, Bangladesh",22.26498486,90.96587286,Bangladesh,Barisal Division,Bhola District
Tazumuddin,"Tazumuddin, Bangladesh",22.4179785,90.8508345,Bangladesh,Barisal Division,Bhola District
Jhalokathi-S,"Jhalokati District, Bangladesh",22.57208,90.1869644,Bangladesh,Barisal Division,Jhalokati District
Kathalia,"Kathalia Upazila, Bangladesh",22.4410253,90.1406316,Bangladesh,Barisal Division,Jhalokati District
Nalchity,"Nalchity Upazila, Bangladesh",22.6282923,90.2688178,Bangladesh,Barisal Division,Jhalokati District
Rajapur,"Rajapur, Bangladesh",22.57400836,90.14314354,Bangladesh,Barisal Division,Jhalokati District
Bauphal,"Bauphal, Bangladesh",22.4192529,90.5565138,Bangladesh,Barisal Division,Patuakhali District
Dashmina,"Dashmina, Bangladesh",22.2791401,90.5683399,Bangladesh,Barisal Division,Patuakhali District
Dumki,"Dumki Upazila, Bangladesh",22.4644533,90.3842527,Bangladesh,Barisal Division,Patuakhali District
Galachipa,"Galachipa, Bangladesh",22.1633734,90.4101619,Bangladesh,Barisal Division,Patuakhali District
Kalapara,"Kalapara, Bangladesh",21.9848767,90.2315018,Bangladesh,Barisal Division,Patuakhali District
Mirzaganj,"Mirzaganj,Bangladesh",22.36720772,90.2113579,Bangladesh,Barisal Division,Patuakhali District
Patuakhali-S,"Patuakhali Sadar Upazila, Bangladesh",22.3587792,90.3452381,Bangladesh,Barisal Division,Patuakhali District
Rangabali,"Rangabali, Bangladesh",21.9397378,90.4408037,Bangladesh,Barisal Division,Patuakhali District
Bhandaria,"Bhandaria, Bangladesh",22.4832118,90.0591175,Bangladesh,Barisal Division,Pirojpur District
Kawkhali,"Kaukhali, Kawkhali, Bangladesh",22.6258092,90.0700051,Bangladesh,Barisal Division,Pirojpur District
Mothbaria,"Mathbaria, Bangladesh",22.2920455,89.9580123,Bangladesh,Barisal Division,Pirojpur District
Nazirpur,"Nazirpur, Bangladesh",22.7867163,89.9813445,Bangladesh,Barisal Division,Pirojpur District
Nesarabad,"Swarupkathi, Bangladesh",22.7449644,90.1167463,Bangladesh,Barisal Division,Pirojpur District
Pirojpur-S,"Pirojpur Sadar Upazila, Bangladesh",22.5841393,89.9720764,Bangladesh,Barisal Division,Pirojpur District
Zianagar,"Zianagar, Bangladesh",22.4857641,89.9603461,Bangladesh,Barisal Division,Pirojpur District
Kaukhali,"Kaukhali, Kawkhali, Bangladesh",22.6258092,90.0700051,Bangladesh,Barisal Division,Pirojpur District
Akhaura,"Akhaura, Bangladesh",23.8686193,91.2097291,Bangladesh,Chittagong Division,Brahmanbaria District
Ashuganj,"Ashuganj, Bangladesh",24.0277383,90.9964085,Bangladesh,Chittagong Division,Brahmanbaria District
B.Baria-S,"Brahmanbaria District, Bangladesh",23.9608181,91.1115014,Bangladesh,Chittagong Division,Brahmanbaria District
Bancharampur,"Bancharampur, Bangladesh",23.7753335,90.803813,Bangladesh,Chittagong Division,Brahmanbaria District
Bijoynagar,"Bijoynagar, Bangladesh",24.0141859,91.2265536,Bangladesh,Chittagong Division,Brahmanbaria District
Kasba,"Kasba,Bangladesh",23.74848704,91.12556892,Bangladesh,Chittagong Division,Brahmanbaria District
Nabinagar,"Nabinagar,Bangladesh",23.88868174,90.96052468,Bangladesh,Chittagong Division,Brahmanbaria District
Nasirnagar,"Nasirnagar, Bangladesh",24.19575,91.1953135,Bangladesh,Chittagong Division,Brahmanbaria District
Sarail,"Sarail, Bangladesh",24.0745179,91.1113216,Bangladesh,Chittagong Division,Brahmanbaria District
Alikadam,"Alikadam, Bangladesh",21.6530087,92.3147677,Bangladesh,Chittagong Division,Bandarban District
Bandarban-S,"Bandarban, Bangladesh",22.1935628,92.2187476,Bangladesh,Chittagong Division,Bandarban District
Lama,"Lama,Bangladesh",21.77442345,92.19687089,Bangladesh,Chittagong Division,Bandarban District
Naikhyongchari,"Naikhongchari, Bangladesh",21.4269481,92.1757278,Bangladesh,Chittagong Division,Bandarban District
Rowangchari,"Rowangchhari Upazila, Bangladesh",22.1832381,92.3366846,Bangladesh,Chittagong Division,Bandarban District
Ruma,"Ruma, Bangladesh",22.05113211,92.41030187,Bangladesh,Chittagong Division,Bandarban District
Thanchi,"Thanchi, Bangladesh",21.8210961,92.435696,Bangladesh,Chittagong Division,Bandarban District
Chandpur-S,"Chandpur, Bangladesh",23.2320991,90.663075,Bangladesh,Chittagong Division,Chandpur District
Faridganj,"Faridganj, Bangladesh",23.1274882,90.7509045,Bangladesh,Chittagong Division,Chandpur District
Haimchar,"Haimchar Upazila, Bangladesh",23.0595392,90.5919691,Bangladesh,Chittagong Division,Chandpur District
Haziganj,"Haziganj, Bangladesh",23.2520414,90.8508345,Bangladesh,Chittagong Division,Chandpur District
Kachua,"Kachua, Bangladesh",23.341144,90.8889678,Bangladesh,Chittagong Division,Chandpur District
Matlab (Dakshin),"Matlab Dakshin Upazila, Bangladesh",23.3449028,90.7091067,Bangladesh,Chittagong Division,Chandpur District
Matlab (Uttar),"Matlab Uttar Upazila, Bangladesh",23.3837473,90.6181279,Bangladesh,Chittagong Division,Chandpur District
Shahrasti,"Shahrasti, Bangladesh",23.2306433,90.9486223,Bangladesh,Chittagong Division,Chandpur District
Anwara,"Anwara, Bangladesh",22.2337164,91.8659809,Bangladesh,Chittagong Division,Chittagong District
Banskhali,"Banshkhali Upazila, Bangladesh",22.0254192,91.9463185,Bangladesh,Chittagong Division,Chittagong District
