District,Bengali Name(BIJOY 52),Division,Established,Population (thousands),Area (km2)
Bagerhat District,বাগেরহাট,Khulna,1984,1461,3959
Bandarban District,বান্দরবান,Chittagong,1981,405,4479
Barguna District,বরগুনা,Barisal,1984,901,1940
Barisal District,বরিশাল,Barisal,1797,2426,2786
Bhola District,ভোলা,Barisal,1984,1947,3405
Bogura District,বগুড়া,Rajshahi,1821,3370,2920
Brahmanbaria District,ব্রাহ্মণবাড়িয়া,Chittagong,1984,2954,1927
Chandpur District,চাঁদপুর,Chittagong,1984,2514,1704
Chapainawabganj District,চাঁপাইনবাবগঞ্জ,Rajshahi,1984,1647,1703
Chattogram District,চট্টগ্রাম,Chittagong,1666,7913,5283
Chuadanga District,চুয়াডাঙ্গা,Khulna,1984,1123,1177
Comilla District,কুমিল্লা,Chittagong,1790,6003,3085
Cox's Bazar District,কক্সবাজার,Chittagong,1984,2382,2492
Dhaka District,ঢাকা,Dhaka,1772,12518,1464
Dinajpur District,দিনাজপুর,Rangpur,1786,2980,3438
Faridpur District,ফরিদপুর,Dhaka,1815,1989,2073
Feni District,ফেনী,Chittagong,1984,1496,928
Gaibandha District,গাইবান্ধা,Rangpur,1984,2349,2179
Gazipur District,গাজীপুর,Dhaka,1984,3548,1800
Gopalganj District,গোপালগঞ্জ,Dhaka,1984,1218,1490
Habiganj District,হবিগঞ্জ,Sylhet,1984,2059,2637
Jamalpur District,জামালপুর,Mymensingh,1978,2265,2032
Jessore District,যশোর,Khulna,1781,2742,2567
Jhalokati District,ঝালকাঠি,Barisal,1984,711,751
Jhenaidah District,ঝিনাইদহ,Khulna,1984,1756,1961
Joypurhat District,জয়পুরহাট,Rajshahi,1983,909,965
Khagrachhari District,খাগড়াছড়ি,Chittagong,1983,639,2700
Khulna District,খুলনা,Khulna,1882,2376,4401
Kishoreganj District,কিশোরগঞ্জ,Dhaka,1984,3029,2689
Kurigram District,কুড়িগ্রাম,Rangpur,1984,2050,2296
Kushtia District,কুষ্টিয়া,Khulna,1947,1933,1601
Lakshmipur District,লক্ষ্মীপুর,Chittagong,1984,1798,1456
Lalmonirhat District,লালমনিরহাট,Rangpur,1984,1249,1241
Madaripur District,মাদারীপুর,Dhaka,1984,1212,1145
Magura District,মাগুরা,Khulna,1984,913,1049
Manikganj District,মানিকগঞ্জ,Dhaka,1984,1447,1379
Meherpur District,মেহেরপুর,Khulna,1984,652,716
Moulvibazar District,মৌলভীবাজার,Sylhet,1984,1902,2799
Munshiganj District,মুন্সিগঞ্জ,Dhaka,1984,1503,955
Mymensingh District,ময়মনসিংহ,Mymensingh,1787,5042,4363
Naogaon District,নওগাঁ,Rajshahi,1984,2576,3436
Narail District,নড়াইল,Khulna,1984,715,990
Narayanganj District,নারায়ণগঞ্জ,Dhaka,1984,3074,700
Narsingdi District,নরসিংদী,Dhaka,1984,2315,1141
Natore District,নাটোর,Rajshahi,1984,1696,1896
Netrokona District,নেত্রকোণা,Mymensingh,1984,2207,2810
Nilphamari District,নীলফামারী,Rangpur,1984,1820,1580
Noakhali District,নোয়াখালী,Chittagong,1821,3232,3601
Pabna District,পাবনা,Rajshahi,1832,2497,2372
Panchagarh District,পঞ্চগড়,Rangpur,1984,981,1405
Patuakhali District,পটুয়াখালী,Barisal,1969,1596,3221
Pirojpur District,পিরোজপুর,Barisal,1984,1277,1308
Rajbari District,রাজবাড়ী,Dhaka,1984,1091,1119
Rajshahi District,রাজশাহী,Rajshahi,1772,2573,2407
Rangamati District,রাঙ্গামাটি,Chittagong,1983,620,6116
Rangpur District,রংপুর,Rangpur,1772,2866,2368
Satkhira District,সাতক্ষীরা,Khulna,1984,2151,3879
Shariatpur District,শরীয়তপুর,Dhaka,1984,1202,1182
Sherpur District,শেরপুর,Mymensingh,1984,1334,1364
Sirajganj District,সিরাজগঞ্জ,Rajshahi,1984,3072,2498
Sunamganj District,সুনামগঞ্জ,Sylhet,1984,2443,3670
Sylhet District,সিলেট,Sylhet,1782,5316,3490
Tangail District,টাঙ্গাইল,Dhaka,1969,3750,3414
Thakurgaon District,ঠাকুরগাঁও,Rangpur,1984,1380,1810
